sensor_reading,noise_level,rolling_avg,reading_diff,pga,snr,p_wave_detected,ttf_seconds
0.45,0.99,0.57,-0.02,0.04,-3.11,0,0
-0.1,0.63,0.4,0.07,0.04,-1.15,0,0
3.45,0.28,3.07,0.24,0.33,16.44,1,15
0.35,0.65,0.89,0.01,-0.13,8.72,0,0
4.93,0.1,4.74,0.17,0.74,10.43,1,16
4.37,0.45,4.2,0.17,0.94,12.09,1,15
4.08,0.4,3.71,0.07,0.61,12.26,1,9
4.98,0.47,4.27,0.08,0.97,8.68,1,19
6.38,0.54,6.06,0.08,0.71,13.98,1,11
-0.73,0.58,-0.8,-0.02,0.26,4.37,0,0
3.24,0.28,3.13,0.03,1.0,26.34,1,16
0.31,1.21,0.13,0.0,0.09,3.63,0,0
5.04,0.75,4.83,0.1,0.87,27.16,1,13
0.27,1.0,0.27,0.02,0.63,5.15,0,0
0.08,0.97,-0.47,-0.0,0.05,6.77,0,0
4.21,0.26,4.36,0.17,0.99,20.12,1,15
4.53,0.2,5.18,0.16,0.74,16.63,1,21
1.53,0.93,1.8,0.03,-0.12,1.46,0,0
-0.25,0.81,0.37,-0.05,0.03,1.86,0,0
-0.06,0.87,-0.09,0.01,0.24,-3.56,0,0
-0.82,0.68,-0.87,-0.02,-0.42,-1.36,0,0
5.19,0.35,5.42,0.1,0.65,12.68,1,17
4.47,0.41,4.16,0.07,1.05,11.78,1,16
0.95,0.66,0.57,-0.01,-0.4,1.22,0,0
0.77,0.66,0.7,-0.05,0.22,7.95,0,0
-0.87,0.85,-0.82,-0.06,-0.01,2.38,0,0
7.38,0.43,7.35,0.12,0.6,12.32,1,14
-0.49,0.81,-0.51,0.02,-0.19,7.86,0,0
5.69,0.03,5.73,0.05,0.41,23.66,1,18
0.53,0.88,0.38,0.09,0.04,6.66,0,0
1.57,0.66,1.05,-0.02,-0.08,6.27,0,0
-0.05,1.0,0.24,-0.01,0.01,1.31,0,0
5.52,0.48,4.94,0.13,0.69,20.72,1,18
5.78,0.44,5.36,0.08,1.09,12.93,1,18
-0.62,0.62,-1.02,0.04,-0.16,11.09,0,0
0.69,0.41,0.99,0.04,0.07,0.64,0,0
2.07,0.83,2.41,-0.05,0.07,1.33,0,0
5.05,-0.02,5.51,0.06,0.73,20.83,1,15
4.71,0.04,4.52,0.14,0.74,9.99,1,8
0.03,0.95,-0.31,0.01,0.15,6.03,0,0
5.11,0.05,4.89,0.11,0.87,19.23,1,21
5.94,0.41,5.61,0.05,0.87,17.6,1,14
-0.9,0.7,-1.26,0.05,0.27,-4.33,0,0
1.86,0.91,1.63,0.01,-0.15,-3.72,0,0
0.74,1.0,0.88,-0.07,0.37,-5.6,0,0
-1.13,0.7,-0.93,0.1,0.44,2.11,0,0
4.48,0.43,4.29,0.13,0.91,9.69,1,14
-0.22,0.85,-0.32,-0.01,-0.06,3.41,0,0
0.03,1.05,-0.07,-0.01,-0.04,-0.28,0,0
1.08,0.58,1.09,0.07,0.11,9.44,0,0
-0.47,0.99,-0.43,-0.03,0.24,-5.05,0,0
3.61,-0.14,3.38,0.08,0.68,7.03,1,12
0.22,0.76,-0.2,-0.0,0.29,0.21,0,0
5.61,0.35,5.95,0.17,1.01,12.83,1,14
5.07,0.36,4.71,0.1,0.65,10.93,1,12
