sensor_reading,noise_level,rolling_avg,reading_diff,pga,snr,p_wave_detected,ttf_seconds
6.3,0.19,5.98,0.22,0.68,21.37,1,14
7.7,0.28,8.14,0.13,0.53,15.33,1,13
6.54,0.11,6.14,0.06,1.07,21.78,1,17
5.69,0.2,5.97,0.15,0.31,13.23,1,14
4.79,0.47,5.08,-0.0,0.68,17.62,1,18
4.16,0.81,3.63,0.06,1.02,16.74,1,16
5.32,0.43,5.34,0.09,0.91,15.87,1,12
4.51,0.32,4.09,0.05,0.96,15.76,1,19
4.83,0.64,5.29,0.06,0.69,20.46,1,13
4.25,0.6,4.31,0.11,0.66,13.28,1,10
3.99,0.09,4.08,0.15,0.94,9.52,1,16
5.78,0.27,5.72,0.13,0.94,14.25,1,15
5.74,0.07,5.56,0.17,0.45,8.22,1,17
5.98,0.49,5.85,0.14,0.68,19.59,1,19
4.19,0.2,4.52,0.23,0.66,17.91,1,17
5.7,0.71,6.15,0.08,0.61,24.3,1,17
4.63,0.45,4.83,0.03,0.48,14.81,1,16
5.97,0.38,5.67,0.08,0.64,19.71,1,10
2.89,0.39,3.14,0.06,1.05,13.95,1,18
6.64,0.55,6.41,0.04,0.89,16.46,1,10
4.11,0.37,3.9,0.1,1.01,17.85,1,21
4.9,0.12,4.95,0.11,0.68,14.17,1,15
5.68,0.4,5.68,0.1,1.07,8.88,1,16
5.54,0.37,5.71,0.12,0.76,21.21,1,15
5.79,0.23,5.88,0.11,0.73,21.65,1,19
5.2,0.13,5.16,0.13,0.93,6.12,1,13
4.83,0.19,5.38,0.03,0.89,9.43,1,12
2.32,0.7,2.1,0.05,1.21,16.81,1,17
4.19,0.46,3.97,0.13,0.97,18.09,1,13
3.67,0.16,3.28,0.16,0.75,6.07,1,12
6.0,0.42,5.31,0.03,0.68,8.67,1,18
4.27,0.36,4.39,0.14,0.95,7.71,1,14
5.0,0.41,5.59,-0.0,1.28,7.83,1,17
5.53,-0.03,5.39,0.11,1.15,9.82,1,15
6.92,-0.16,7.36,0.09,0.9,15.43,1,15
5.52,-0.05,5.77,0.2,0.89,21.75,1,14
4.47,0.05,4.24,0.06,0.84,13.54,1,18
5.33,0.67,4.96,0.09,0.37,19.25,1,15
5.84,0.64,5.72,0.14,0.52,16.75,1,13
4.17,0.29,4.0,0.06,0.66,21.31,1,13
4.27,-0.08,4.22,0.15,0.68,12.04,1,14
5.66,0.61,5.98,0.14,1.01,8.04,1,17
5.43,0.26,5.24,0.1,0.76,14.32,1,10
6.25,0.38,6.66,0.15,0.91,19.04,1,14
4.01,0.16,4.25,0.09,1.05,7.24,1,15
6.23,0.2,5.44,0.04,0.96,6.94,1,16
6.47,-0.1,6.31,-0.03,0.75,13.83,1,11
4.96,0.23,4.88,0.06,0.74,16.93,1,14
4.33,0.27,4.49,0.09,0.65,12.53,1,15
5.01,0.38,5.0,0.08,0.93,16.29,1,13
