iter	Passed	Remaining
0	3	342
1	6	310
2	9	292
3	11	283
4	14	277
5	17	275
6	20	272
7	23	267
8	26	263
9	28	259
10	31	256
11	34	255
12	38	255
13	41	253
14	44	250
15	46	246
16	50	244
17	52	240
18	55	238
19	58	235
20	61	231
21	64	229
22	67	226
23	70	223
24	73	219
25	75	216
26	78	212
27	81	210
28	84	207
29	87	204
30	90	201
31	93	197
32	96	195
33	99	192
34	102	189
35	105	186
36	107	183
37	110	180
38	113	177
39	116	174
40	119	171
41	122	168
42	124	165
43	128	163
44	131	160
45	134	158
46	137	155
47	140	151
48	143	149
49	146	146
50	149	143
51	152	140
52	155	137
53	157	134
54	161	132
55	164	129
56	167	126
57	170	123
58	172	120
59	176	117
60	179	114
61	182	111
62	185	108
63	187	105
64	190	102
65	193	99
66	196	96
67	199	93
68	202	90
69	205	87
70	208	85
71	210	82
72	213	79
73	216	76
74	219	73
75	223	70
76	226	67
77	229	64
78	232	61
79	235	58
80	238	55
81	241	52
82	244	49
83	246	47
84	249	44
85	252	41
86	255	38
87	258	35
88	261	32
89	264	29
90	267	26
91	269	23
92	272	20
93	275	17
94	278	14
95	281	11
96	284	8
97	287	5
98	290	2
99	293	0
